filial_venda,seq_nota_fiscal,cod_produto_venda,qtd_venda,um_venda,preco_unit_venda,total_venda,cod_vendedor,estado,dt_emissao,nome_cliente,chave_cliente
01009,153018,PA01010001,520,CX,-,-,000009,PR,16/01/2024,ATACADAO S.A. LJ 42,753153330042
01003,185385,PA01030008,408,CX,-,-,000019,BA,04/07/2024,ARMAZEM TOP ALTO LTDA,190640350001
01003,178239,PA01010005,1.000,CX,-,-,000019,RJ,29/05/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01003,176140,PA01010005,40,CX,-,-,000019,RJ,17/05/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01003,170585,PA01010005,70,CX,-,-,000019,RJ,17/04/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01003,175469,PA01030012,30,CX,-,-,000019,RJ,15/05/2024,MEGA CESARIO DE MELO SUPERMERCADOS LTDA,480310200001
01003,175463,PA01030012,30,CX,-,-,000019,RJ,15/05/2024,MEGA NOVA CIDADE SUPERMERCADOS LTDA,376314100001
01003,175459,PA01030012,30,CX,-,-,000019,RJ,15/05/2024,MEGA SENADOR VASCONCELOS SUPERMERCADOS LTDA,458918420001
01003,175471,PA01030012,15,CX,-,-,000019,RJ,15/05/2024,SOARES E PRINCISVAL MERCADO LTDA,025718030001
01003,175453,PA01030012,30,CX,-,-,000019,RJ,15/05/2024,SUPERMERCADOS MEGA EIRELI,267542150001
01003,175467,PA01030012,30,CX,-,-,000019,RJ,15/05/2024,SUPERMERCADOS MEGA LTDA,267542150002
01003,154687,PA01020002,1.804,CX,-,-,000019,GO,25/01/2024,TRENTINO COMERCIO DE ALIMENTOS LTDA,342139380017
01003,161356,PA01020002,720,CX,-,-,000019,GO,28/02/2024,TRENTINO COMERCIO DE ALIMENTOS LTDA,342139380017
01003,170693,PA01010005,1.750,CX,-,-,000019,GO,19/04/2024,TRENTINO COMERCIO DE ALIMENTOS LTDA,342139380017
01003,176132,PA01010005,1.720,CX,-,-,000019,GO,17/05/2024,TRENTINO COMERCIO DE ALIMENTOS LTDA,342139380017
01003,161356,PA01020002,720,CX,-,-,000019,GO,28/02/2024,TRENTINO COMERCIO DE ALIMENTOS LTDA,342139380017
01009,172720,PA01020015,3.131,CX,-,-,000009,PR,01/05/2024,ATACADAO S.A  LJ 177 CD,753153330177
01009,172722,PA01020015,2.988,CX,-,-,000009,PR,01/05/2024,ATACADAO S.A  LJ 177 CD,753153330177
01009,177005,PA01020015,101,CX,-,-,000009,PR,23/05/2024,DILETTARE ATACADO LTDA,298840920006
01003,162584,PA01010005,2.690,CX,-,-,000024,MG,06/03/2024,DMA DISTRIBUIDORA S/A,019280750020
01003,176634,PA01010005,210,CX,-,-,000024,MG,21/05/2024,DMA DISTRIBUIDORA S/A,019280750020
01003,158912,PA01010005,340,CX,-,-,000024,MG,17/02/2024,DMA DISTRIBUIDORA S/A,019280750020
01003,184431,PA01010005,160,CX,-,-,000024,MG,28/06/2024,DMA DISTRIBUIDORA S/A,019280750020
01003,161927,PA01030004,53,CX,-,-,000011,SP,01/03/2024,M MARCATTO UTILIDADES LTDA,492403780001
01003,170276,PA01030004,53,CX,-,-,000011,SP,16/04/2024,M MARCATTO UTILIDADES LTDA,492403780001
01003,170610,PA01020002,4,CX,-,-,000026,SP,18/04/2024,MARLI DOS SANTOS LIMA BEZERRA,080721770001
01003,168074,PA01020012,16,CX,-,-,000044,MS,05/04/2024,MERCADO MISTER JUNIOR LTDA,032750150005
01003,168076,PA01020012,20,CX,-,-,000044,MS,05/04/2024,MERCADO MISTER JUNIOR LTDA,032750150005
01006,189254,PA01010005,40,CX,-,-,000012,RS,23/07/2024,PASSARELA CENTER LTDA.,031072020016
01006,197170,PA01010005,40,CX,-,-,000012,RS,30/08/2024,PASSARELA CENTER LTDA.,031072020016
01009,172449,PA01010006,77,CX,-,-,000009,PR,29/04/2024,SUPERMERCADO SUPERPAO S/A,778833200004
01009,151174,PA01020009,379,CX,-,-,000009,PR,08/01/2024,SUPERMERCADO SUPERPAO S/A,778833200004
01009,170258,PA01020015,504,CX,-,-,000009,PR,16/04/2024,SUPERMERCADO TONHAO LTDA,108286190003
01003,153917,PA01020009,3,CX,-,-,000011,SP,19/01/2024,YUDI  TAMURA LTDA,069970090001
01004,199582,PA01010005,270,CX,-,-,000006,RS,12/09/2024,BAMBERG COMERCIO E REPRESENTACOES LTDA,903645970001
01004,172319,PA01010006,77,CX,-,-,000021,RS,29/04/2024,CASPER DISTRIB PROD ALIMENT LTDA,875451330004
01004,165979,PA01020016,381,CX,-,-,000020,RS,25/03/2024,COMERCIAL DE ALIMENTOS SERRA LTDA,052188560006
01004,170115,PA01020011,10,CX,-,-,000020,RS,15/04/2024,COMERCIAL DE ALIMENTOS SERRA LTDA,052188560006
01004,169692,PA01020011,75,CX,-,-,000020,RS,12/04/2024,COMERCIAL DE ALIMENTOS SERRA LTDA,052188560006
01004,215248,PA01020008,34,CX,-,-,000042,RS,30/11/2024,DINAMICA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,272437460001
01004,228465,PA01020008,30,CX,-,-,000042,RS,31/01/2025,DINAMICA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,272437460001
01004,203113,PA01020008,34,CX,-,-,000042,RS,30/09/2024,DINAMICA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,272437460001
01004,171337,PA01020015,1.000,CX,-,-,000042,RS,24/04/2024,DINAMICA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,272437460001
01004,171339,PA01020015,296,CX,-,-,000042,RS,24/04/2024,DINAMICA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,272437460001
01004,217796,PA01030013,1.008,CX,-,-,000020,RS,12/12/2024,LEVE MAIS ATACADISTA LTDA,475369830001
01004,172434,PA01010006,96,CX,-,-,000020,RS,29/04/2024,O VANTAJAO SANTA FE DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,057004050007
01004,189268,PA01020005,224,CX,-,-,000009,RS,23/07/2024,PERTE DISTRIBUIDORA DE ALIMENTOS LTDA,049493060001
01004,206258,PA01020016,87,CX,-,-,000010,RS,16/10/2024,RIBACHEK DISTRIBUIDORA DE ALIMENTOS EIRELI,082953120001
01004,201090,PA01020016,258,CX,-,-,000007,RS,20/09/2024,SENAR COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,013664110001
01004,152979,PA01010004,192,CX,-,-,000020,RS,15/01/2024,UNIDASUL DISTRIBUIDORA ALIMENTICIA S/A,077186330061
01004,212401,PA01030012,105,CX,-,-,000020,RS,18/11/2024,UNIDASUL DISTRIBUIDORA ALIMENTICIA S/A,077186330061
01004,158006,PA01010006,58,CX,-,-,000014,RN,12/02/2024,AGIL DISTRIBUIDORA DE ALIMENTOS LTDA,323658940002
01004,203784,PA01020008,2,CX,-,-,000011,SP,02/10/2024,ALIMENTARE PRODUTOS ALIMENTICIOS LTDA,081665240001
01004,203784,PA01020008,2,CX,-,-,000011,SP,02/10/2024,ALIMENTARE PRODUTOS ALIMENTICIOS LTDA,081665240001
01004,195012,PA01030008,960,CX,-,-,000019,BA,21/08/2024,ARMAZEM TOP ALTO LTDA,190640350001
01004,206183,PA01030008,912,CX,-,-,000019,BA,16/10/2024,ARMAZEM TOP ALTO LTDA,190640350001
01004,189818,PA01030008,480,CX,-,-,000019,BA,25/07/2024,ARMAZEM TOP ALTO LTDA,190640350001
01004,198328,PA01030008,432,CX,-,-,000019,BA,04/09/2024,ARMAZEM TOP ALTO LTDA,190640350001
01004,192101,PA01010005,560,CX,-,-,000013,GO,05/08/2024,CAVA- COMERCIAL ATACADISTA E VAREJISTA DE ALIMENTOS LTDA,367705740002
01004,158016,PA01010006,134,CX,-,-,000014,RN,12/02/2024,CEREALISTA QUEIROZ LTDA,085853480001
01004,209226,PA01010010,180,CX,-,-,000013,GO,31/10/2024,CIDADE COMERCIO INDUSTRIA E DISTRIBUICAO DE ALIMENTOS LTDA,085801160005
01004,197982,PA01020008,101,CX,-,-,000030,RO,03/09/2024,COIMBRA IMPORTACAO E EXPORTACAO LTDA,061519210001
01004,188658,PA01010005,890,CX,-,-,000019,RJ,19/07/2024,COMERCIAL LAGOS COMERCIO E DISTRIBUICAO DE PRODUTOS ALIMENTICIOS LTDA,262279490001
01004,188666,PA01020008,101,CX,-,-,000006,SP,19/07/2024,DENER FRANGOS DISTRIBUIDORA DE ALIMENTOS LTDA,068537540001
01004,198752,PA01010005,260,CX,-,-,000010,PR,09/09/2024,DIFRIPAR LOGISTICA E DISTRIBUICAO LTDA,740179300001
01004,185169,PA01020008,52,CX,-,-,000000,SP,03/07/2024,E. H. SATO,070877930001
01004,184669,PA01030012,15,CX,-,-,000000,SP,01/07/2024,E. H. SATO,070877930001
01004,205478,PA01030012,15,CX,-,-,000003,SE,10/10/2024,EKAL DISTRIBUIDORA DE ALIMENTOS EIRELI,288700970001
01004,165493,PA01010006,192,CX,-,-,000003,PE,22/03/2024,FRINEX - FRIGORIFICOS DO NORDESTE VENEZA LTDA,021918190001
01004,207756,PA01020013,100,CX,-,-,000003,PE,24/10/2024,FRINSCAL - DISTRIBUIDORA E IMPORTADORA DE ALIMENTOS LTDA,035044370005
01004,207756,PA01020013,100,CX,-,-,000003,PE,24/10/2024,FRINSCAL - DISTRIBUIDORA E IMPORTADORA DE ALIMENTOS LTDA,035044370005
01004,174136,PA01010005,790,CX,-,-,5797,GO,11/05/2024,GYNSOL DISTRIBUIDORA E LOGISTICA DE PRODUTOS ALIMENTICIOS LTDA.,373594600003
01004,212455,PA01010005,250,CX,-,-,5797,GO,19/11/2024,GYNSOL DISTRIBUIDORA E LOGISTICA DE PRODUTOS ALIMENTICIOS LTDA.,373594600003
01004,169395,PA01030001,36,CX,-,-,000011,MS,10/04/2024,LUCIANO DA SILVA,197500970001
01004,185959,PA01020009,120,CX,-,-,000011,MS,08/07/2024,LUCIANO DA SILVA,197500970001
01004,169430,PA01030001,36,CX,-,-,000011,MS,11/04/2024,LUCIANO DA SILVA,197500970001
01004,213189,PA01020009,58,CX,-,-,000011,SP,22/11/2024,MARCELO VALLERIO LANCHONETE,135904060001
01004,216602,PA01020008,357,CX,-,-,000031,RR,07/12/2024,NOVO TEMPO COMERCIO DE ALIMENTOS LTDA,840252790005
01004,155586,PA01020008,40,CX,-,-,000000,BA,30/01/2024,REIS ATACADO DE ALIMENTOS LTDA,067320960001
01004,205128,PA01020011,32,CX,-,-,000000,SP,09/10/2024,SANSUL ALIMENTOS LTDA,124553760001
01004,178038,PA01030008,1.416,CX,-,-,000003,RN,29/05/2024,SUPERCOP ATACADO LTDA,177222790001
01004,193324,PA01010005,50,CX,-,-,000013,CE,12/08/2024,T  T COMERCIO E REPRESENTACAO LTDA,087189210003
01004,202965,PA01020016,60,CX,-,-,000013,RN,28/09/2024,TMC DISTRIBUIDOR E ATACADISTA DE ALIMENTOS LTDA,143450320002
01004,154927,PA01010005,60,CX,-,-,000013,BA,26/01/2024,TMC DISTRIBUIDOR E ATACADISTA DE ALIMENTOS LTDA,143450320002
